PAC,NAME,SHAPE_Leng,SHAPE_Area,Sheng,Shi,ShengName,ShiName,Area
350103,台江区,24.9790977698,18.078172628,35,3501,福建省,福州市,17374271.862234
350182,长乐市,147.054952791,702.727046594,35,3501,福建省,福州市,674425335.405985
350182,长乐市,7.55819959234,1.64710238185,35,3501,福建省,福州市,1583526.260477
350104,仓山区,65.0363483311,152.554187988,35,3501,福建省,福州市,146548722.975670
350102,鼓楼区,25.8103019825,36.6180436291,35,3501,福建省,福州市,35204983.599744
350122,连江县,3.93234435659,0.884806122926,35,3501,福建省,福州市,851249.431358
350105,马尾区,32.3093784487,59.9105103333,35,3501,福建省,福州市,57618149.139617
350425,大田县,377.324273281,2328.56929682,35,3504,福建省,三明市,2228523205.321246
350122,连江县,9.69461885259,3.17646518208,35,3501,福建省,福州市,3056671.845136
350105,马尾区,63.146652734,178.210956536,35,3501,福建省,福州市,171331211.238305
350122,连江县,18.0938170857,14.4733619932,35,3501,福建省,福州市,13930026.993387
350122,连江县,20.6795382816,10.938238729,35,3501,福建省,福州市,10532038.120380
350481,永安市,428.83601672,3058.38804672,35,3504,福建省,三明市,2930779069.728642
350122,连江县,15.8770414356,5.83589679819,35,3501,福建省,福州市,5623549.000344
350122,连江县,2.23902847003,0.283061624426,35,3501,福建省,福州市,272846.923663
350122,连江县,5.39455702913,1.83806314627,35,3501,福建省,福州市,1772265.543732
350403,三元区,204.711497397,830.431238107,35,3504,福建省,三明市,798213998.733267
350423,清流县,275.553498837,1882.04660605,35,3504,福建省,三明市,1807083493.949590
350402,梅列区,138.835924652,366.845873488,35,3504,福建省,三明市,353105414.877873
350111,晋安区,162.842068346,586.210279028,35,3501,福建省,福州市,564369724.080445
350426,尤溪县,421.096231626,3556.44991781,35,3504,福建省,三明市,3418080976.364202
350122,连江县,5.53576124327,0.855515853343,35,3501,福建省,福州市,826087.490671
350122,连江县,3.39080890117,0.598064695082,35,3501,福建省,福州市,577500.553675
350122,连江县,300.488067261,1137.54343259,35,3501,福建省,福州市,1096550212.809454
350124,闽清县,323.867283123,1551.17417035,35,3501,福建省,福州市,1492404616.111253
350921,霞浦县,5.1593320261,0.426299705653,35,3509,福建省,宁德市,412260.814331
350902,蕉城区,4.59085195184,1.0137459702,35,3509,福建省,宁德市,980386.945062
350121,闽侯县,358.610584059,2212.50489231,35,3501,福建省,福州市,2128658018.249488
350902,蕉城区,3.27394438633,0.744499496513,35,3509,福建省,宁德市,720261.451899
350902,蕉城区,14.3530872409,10.505189913,35,3509,福建省,宁德市,10164623.544135
350123,罗源县,288.100389752,1105.5921478,35,3501,福建省,福州市,1067945195.730393
350421,明溪县,387.653264084,1794.40391269,35,3504,福建省,三明市,1729147403.327435
350424,宁化县,413.77372206,2498.95492029,35,3504,福建省,三明市,2405124202.236685
350921,霞浦县,3.53563048621,0.566650839533,35,3509,福建省,宁德市,548554.175048
350427,沙县,312.271802075,1864.05348648,35,3504,福建省,三明市,1797045049.166068
350902,蕉城区,26.2641149501,29.4957727714,35,3509,福建省,宁德市,28548504.416020
350921,霞浦县,8.10128212365,2.51503632642,35,3509,福建省,宁德市,2435168.855807
350902,蕉城区,4.46345711403,1.24811744434,35,3509,福建省,宁德市,1208537.138456
350921,霞浦县,16.090664761,7.67473023376,35,3509,福建省,宁德市,7432683.969086
350981,福安市,16.5549244719,6.06410185264,35,3509,福建省,宁德市,5872754.948398
350981,福安市,4.68220671125,0.757635032447,35,3509,福建省,宁德市,733905.689346
350981,福安市,3.18713750729,0.735562991188,35,3509,福建省,宁德市,712623.173620
350902,蕉城区,10.0108959809,5.52446538802,35,3509,福建省,宁德市,5352603.663997
350702,延平区,424.260876823,2749.326478,35,3507,福建省,南平市,2655262985.015946
350922,古田县,404.716737941,2453.87755446,35,3509,福建省,宁德市,2371781472.738531
350902,蕉城区,342.613106297,1410.56074418,35,3509,福建省,宁德市,1366365725.914976
350428,将乐县,300.633156981,2312.88555151,35,3504,福建省,三明市,2236431358.132575
350430,建宁县,271.794874826,1772.93928003,35,3504,福建省,三明市,1715928504.520409
350429,泰宁县,270.373102974,1578.50382341,35,3504,福建省,三明市,1528461391.983868
350921,霞浦县,460.675470443,1517.20874432,35,3509,福建省,宁德市,1472458129.561256
350923,屏南县,245.324223441,1530.10417351,35,3509,福建省,宁德市,1483960562.256679
350721,顺昌县,334.144676328,2044.04832285,35,3507,福建省,南平市,1980560097.971128
350925,周宁县,229.463624423,1068.7418009,35,3509,福建省,宁德市,1038775804.282770
350783,建瓯市,441.951059833,4320.89843121,35,3507,福建省,南平市,4194326397.212816
350981,福安市,351.293915309,1818.57067611,35,3509,福建省,宁德市,1767576786.584629
350725,政和县,306.399783285,1792.49724947,35,3507,福建省,南平市,1745851352.031946
350781,邵武市,343.177671056,2941.45108901,35,3507,福建省,南平市,2859716738.709477
350924,寿宁县,252.683352112,1466.29138366,35,3509,福建省,宁德市,1430473824.838373
350703,建阳区,473.746990599,3474.99956638,35,3507,福建省,南平市,3385411961.440550
350724,松溪县,177.98776487,1066.49086853,35,3507,福建省,南平市,1041664995.392988
350723,光泽县,312.411517932,2291.49403427,35,3507,福建省,南平市,2237605094.458000
350521,惠安县,3.33813315002,0.569516299244,35,3505,福建省,泉州市,539359.508385
350681,龙海市,5.71134461437,2.19835935245,35,3506,福建省,漳州市,2069684.664172
350681,龙海市,6.5880764058,0.998472233381,35,3506,福建省,漳州市,941014.956941
350626,东山县,5.88712034747,1.43897666033,35,3506,福建省,漳州市,1341674.647922
350623,漳浦县,420.315316961,2143.76608198,35,3506,福建省,漳州市,2011901202.004729
350622,云霄县,3.78360726277,0.875687610841,35,3506,福建省,漳州市,819713.771754
350624,诏安县,3.78284293814,0.783760270406,35,3506,福建省,漳州市,730664.358776
350626,东山县,4.89487102141,0.889273211555,35,3506,福建省,漳州市,830465.029946
350626,东山县,109.576778299,235.057736649,35,3506,福建省,漳州市,219379200.908338
